person_id,name,eligible,missed
412630,Rep. Ralph Abraham [R-LA5],519,2
412607,Rep. Alma Adams [D-NC12],519,71
400004,Rep. Robert Aderholt [R-AL4],519,11
412615,Rep. Pete Aguilar [D-CA31],519,3
300002,Sen. Lamar Alexander [R-TN],271,10
412625,Rep. Rick Allen [R-GA12],519,2
412438,Rep. Justin Amash [R-MI3],519,0
412500,Rep. Mark Amodei [R-NV2],519,39
412642,Rep. Brad Ashford [D-NE2],519,7
412493,Sen. Kelly Ayotte [R-NH],271,1
412655,Rep. Brian Babin [R-TX36],519,5
400013,Sen. Tammy Baldwin [D-WI],271,0
412469,Rep. Lou Barletta [R-PA11],519,39
412541,Rep. Garland “Andy” Barr [R-KY6],519,5
412251,Sen. John Barrasso [R-WY],271,0
400018,Rep. Joe Barton [R-TX6],519,26
412404,Rep. Karen Bass [D-CA37],519,46
412565,Rep. Joyce Beatty [D-OH3],519,5
400021,Rep. Xavier Becerra [D-CA34],519,33
412436,Rep. Dan Benishek [R-MI1],519,1
412330,Sen. Michael Bennet [D-CO],271,0
412512,Rep. Ami Bera [D-CA7],519,17
412657,Rep. Donald Beyer [D-VA8],519,12
412250,Rep. Gus Bilirakis [R-FL12],519,6
412635,Rep. Mike Bishop [R-MI8],519,2
400029,Rep. Rob Bishop [R-UT1],519,26
400030,Rep. Sanford Bishop [D-GA2],519,10
412478,Rep. Diane Black [R-TN6],519,13
400032,Rep. Marsha Blackburn [R-TN7],519,15
412627,Rep. Rod Blum [R-IA1],519,14
400033,Rep. Earl Blumenauer [D-OR3],519,12
412490,Sen. Richard Blumenthal [D-CT],271,1
400034,Sen. Roy Blunt [R-MO],271,11
400036,Rep. John Boehner [R-OH8],14,1
412501,Rep. Suzanne Bonamici [D-OR1],519,3
412598,Sen. Cory Booker [D-NJ],271,3
400040,Sen. John Boozman [R-AR],271,3
412629,Rep. Mike Bost [R-IL12],519,7
400636,Rep. Charles Boustany [R-LA3],519,0
300011,Sen. Barbara Boxer [D-CA],271,28
412652,Rep. Brendan Boyle [D-PA13],519,35
400046,Rep. Kevin Brady [R-TX8],519,27
400047,Rep. Robert Brady [D-PA1],519,36
412605,Rep. David “Dave” Brat [R-VA7],519,7
412567,Rep. Jim Bridenstine [R-OK1],519,6
412395,Rep. Mo Brooks [R-AL5],519,1
412539,Rep. Susan Brooks [R-IN5],519,8
400048,Rep. Corrine Brown [D-FL5],519,21
400050,Sen. Sherrod Brown [D-OH],271,4
412516,Rep. Julia Brownley [D-CA26],519,5
412196,Rep. Vern Buchanan [R-FL16],519,30
412619,Rep. Ken Buck [R-CO4],519,58
412427,Rep. Larry Bucshon [R-IN8],519,4
400052,Rep. Michael Burgess [R-TX26],519,2
400054,Sen. Richard Burr [R-NC],271,1
412537,Rep. Cheri Bustos [D-IL17],519,5
400616,Rep. George “G.K.” Butterfield [D-NC1],519,21
412601,Rep. Bradley Byrne [R-AL1],519,22
400057,Rep. Ken Calvert [R-CA42],519,3
300018,Sen. Maria Cantwell [D-WA],271,0
400061,Sen. Shelley Capito [R-WV],271,2
400062,Rep. Lois Capps [D-CA24],519,53
400063,Rep. Michael Capuano [D-MA7],519,12
400064,Sen. Benjamin Cardin [D-MD],271,0
412407,Rep. John Carney [D-DE0],519,15
300019,Sen. Thomas Carper [D-DE],271,3
412258,Rep. André Carson [D-IN7],519,7
412622,Rep. Buddy Carter [R-GA1],519,3
400068,Rep. John Carter [R-TX31],505,59
412571,Rep. Matthew Cartwright [D-PA17],519,21
412246,Sen. Robert “Bob” Casey [D-PA],271,1
412269,Sen. Bill Cassidy [R-LA],271,4
412195,Rep. Kathy Castor [D-FL14],519,7
412576,Rep. Joaquin Castro [D-TX20],519,6
400071,Rep. Steve Chabot [R-OH1],519,0
412270,Rep. Jason Chaffetz [R-UT3],519,29
412379,Rep. Judy Chu [D-CA27],519,27
412470,Rep. David Cicilline [D-RI1],518,4
412600,Rep. Katherine Clark [D-MA5],519,5
412221,Rep. Yvette Clarke [D-NY9],519,20
412604,Rep. Curtis “Curt” Clawson [R-FL19],519,61
400074,Rep. Lacy Clay [D-MO1],519,19
400639,Rep. Emanuel Cleaver [D-MO5],519,73
400075,Rep. James “Jim” Clyburn [D-SC6],519,32
402675,Sen. Daniel Coats [R-IN],271,4
300023,Sen. Thad Cochran [R-MS],271,2
412271,Rep. Mike Coffman [R-CO6],519,5
412236,Rep. Steve Cohen [D-TN9],519,10
400077,Rep. Tom Cole [R-OK4],519,5
412563,Rep. Chris Collins [R-NY27],519,3
412531,Rep. Doug Collins [R-GA9],519,10
300025,Sen. Susan Collins [R-ME],271,0
412658,Rep. Barbara Comstock [R-VA10],519,3
400655,Rep. Michael Conaway [R-TX11],519,0
412272,Rep. Gerald Connolly [D-VA11],519,0
400080,Rep. John Conyers [D-MI13],519,44
412513,Rep. Paul Cook [R-CA8],519,3
412390,Sen. Chris Coons [D-DE],271,12
400081,Rep. Jim Cooper [D-TN5],519,4
412248,Sen. Bob Corker [R-TN],271,10
300027,Sen. John Cornyn [R-TX],271,1
400618,Rep. Jim Costa [D-CA16],511,15
412651,Rep. Ryan Costello [R-PA6],519,6
412508,Sen. Tom Cotton [R-AR],271,2
412193,Rep. Joe Courtney [D-CT2],519,10
412555,Rep. Kevin Cramer [R-ND0],519,14
300030,Sen. Michael Crapo [R-ID],271,4
412400,Rep. Eric “Rick” Crawford [R-AR1],519,31
400086,Rep. Ander Crenshaw [R-FL4],519,4
400087,Rep. Joseph “Joe” Crowley [D-NY14],514,19
412573,Sen. Ted Cruz [R-TX],271,60
400657,Rep. Henry Cuellar [D-TX28],519,11
400089,Rep. John Culberson [R-TX7],519,44
400090,Rep. Elijah Cummings [D-MD7],519,21
412621,Rep. Carlos Curbelo [R-FL26],519,16
412517,Rep. Tony Cárdenas [D-CA29],519,36
412549,Sen. Steve Daines [R-MT],271,0
400093,Rep. Danny Davis [D-IL7],519,25
412536,Rep. Rodney Davis [R-IL13],519,12
400097,Rep. Susan Davis [D-CA53],519,0
400100,Rep. Peter DeFazio [D-OR4],519,36
